Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1992-11-05,417.079987,418.399994,415.579987,418.339996,219730000,418.339996
1992-11-06,418.350006,418.350006,417.01001,417.579987,205310000,417.579987
1992-11-09,417.579987,420.130005,416.790009,418.589996,197560000,418.589996
1992-11-10,418.589996,419.709991,417.980011,418.619995,223180000,418.619995
1992-11-11,418.619995,422.329987,418.399994,422.200012,243750000,422.200012
1992-11-12,422.200012,423.100006,421.700012,422.869995,226010000,422.869995
1992-11-13,422.890015,422.910004,421.040009,422.429993,192950000,422.429993
1992-11-16,422.440002,422.440002,420.350006,420.679993,173600000,420.679993
1992-11-17,420.630005,420.970001,418.309998,419.269989,187660000,419.269989
1992-11-18,419.269989,423.48999,419.23999,422.850006,219080000,422.850006
1992-11-19,422.859985,423.609985,422.5,423.609985,218720000,423.609985
1992-11-20,423.609985,426.980011,423.609985,426.649994,257460000,426.649994
1992-11-23,426.649994,426.649994,424.950012,425.119995,192530000,425.119995
1992-11-24,425.140015,429.309998,424.829987,427.589996,241540000,427.589996
1992-11-25,427.589996,429.410004,427.579987,429.190002,207700000,429.190002
1992-11-27,429.190002,431.929993,429.170013,430.160004,106020000,430.160004
1992-11-30,430.190002,431.529999,429.359985,431.350006,230150000,431.350006
1992-12-01,431.350006,431.470001,429.200012,430.779999,259050000,430.779999
1992-12-02,430.779999,430.869995,428.609985,429.890015,247010000,429.890015
1992-12-03,429.980011,430.98999,428.799988,429.910004,238050000,429.910004
1992-12-04,429.929993,432.890015,429.73999,432.059998,234960000,432.059998
1992-12-07,432.059998,435.309998,432.059998,435.309998,217700000,435.309998
1992-12-08,435.309998,436.98999,434.679993,436.98999,234330000,436.98999
1992-12-09,436.98999,436.98999,433.980011,435.649994,230060000,435.649994
1992-12-10,435.660004,435.660004,432.649994,434.640015,240640000,434.640015
1992-12-11,434.640015,434.640015,433.339996,433.730011,164510000,433.730011
1992-12-14,433.730011,435.26001,432.829987,432.839996,187040000,432.839996
1992-12-15,432.820007,433.660004,431.920013,432.570007,227770000,432.570007
1992-12-16,432.579987,434.220001,430.880005,431.519989,242130000,431.519989
1992-12-17,431.519989,435.440002,431.459991,435.429993,251640000,435.429993
1992-12-18,435.459991,441.290009,435.459991,441.279999,389300000,441.279999
1992-12-21,441.26001,441.26001,439.649994,440.700012,224680000,440.700012
1992-12-22,440.700012,441.640015,438.25,440.309998,250430000,440.309998
1992-12-23,440.290009,441.109985,439.029999,439.029999,234140000,439.029999
1992-12-24,439.029999,439.809998,439.029999,439.769989,95240000,439.769989
1992-12-28,439.769989,439.769989,437.26001,439.149994,143970000,439.149994
1992-12-29,439.149994,442.649994,437.600006,437.980011,213660000,437.980011
